kept_trades,removed_trades,removed_net_profit_brl,all_trades,all_net_profit_brl,all_avg_profit_brl,all_profit_factor,all_win_rate,all_max_drawdown_pct,train_trades,train_net_profit_brl,train_avg_profit_brl,train_profit_factor,train_win_rate,train_max_drawdown_pct,test_trades,test_net_profit_brl,test_avg_profit_brl,test_profit_factor,test_win_rate,test_max_drawdown_pct,name,column,threshold,side,test_pf_delta,test_avg_delta
1317,1362,7080.0,1317,7035.0,5.341685649202733,1.2139923954372625,0.721336370539104,6.7842605156037985,933,5225.0,5.60021436227224,1.2151976935749589,0.7213290460878885,6.7842605156037985,384,1810.0,4.713541666666667,1.210587550901687,0.7213541666666666,7.481602616516763,all_trend_efficiency_ge_0.421053,signal_dir_trend_efficiency_15,0.421053,all,-0.005233601290918211,0.03070584577114488
2012,667,2985.0,2012,11130.0,5.531809145129225,1.22716603735075,0.7226640159045725,6.525037936267071,1402,8360.0,5.9629101283880175,1.2352610102715633,0.724679029957204,6.525037936267071,610,2770.0,4.540983606557377,1.2057949479940564,0.7180327868852459,7.648401826484018,long_only_trend_efficiency_ge_0.419355,signal_dir_trend_efficiency_15,0.419355,long,-0.010026204198548827,-0.14185221433814466
2154,525,3005.0,2154,11110.0,5.1578458681522745,1.2117804041174227,0.7223769730733519,8.578143360752057,1499,8190.0,5.463642428285524,1.215101772816809,0.7224816544362909,8.578143360752057,655,2920.0,4.458015267175573,1.202989224887035,0.7221374045801526,8.169642857142858,all_trend_efficiency_ge_0.234043,signal_dir_trend_efficiency_15,0.234043,all,-0.012831927305570145,-0.22482055371994925
1970,709,2675.0,1970,11440.0,5.807106598984771,1.23342175066313,0.7243654822335025,8.710311885361056,1396,8790.0,6.296561604584527,1.2454964390448262,0.7256446991404012,8.710311885361056,574,2650.0,4.616724738675958,1.2006815600151457,0.7212543554006968,7.699400645458737,long_only_cum_volume_rel_ge_0.967157,signal_cum_volume_rel,0.967157,long,-0.015139592177459527,-0.06611108221956385
1234,1445,7100.0,1234,7015.0,5.684764991896272,1.2110409145607701,0.7244732576985413,10.341463414634147,920,5375.0,5.842391304347826,1.2145280383157055,0.725,10.341463414634147,314,1640.0,5.222929936305732,1.2003665241295052,0.7229299363057324,7.068887888338586,all_cum_volume_rel_ge_0.969358,signal_cum_volume_rel,0.969358,all,-0.015454628063100051,0.5400941154102101
2386,293,1915.0,2386,12200.0,5.113160100586756,1.2064647148417669,0.7225481978206203,9.335981838819524,1675,9000.0,5.373134328358209,1.208792483470595,0.7223880597014926,9.335981838819524,711,3200.0,4.50070323488045,1.2001876759461996,0.7229254571026723,8.1008100810081,long_only_cum_volume_rel_ge_0.824804,signal_cum_volume_rel,0.824804,long,-0.015633476246405653,-0.1821325860150722
1837,842,2640.0,1837,11475.0,6.246597713663582,1.261300239098258,0.7278170930865542,5.857230018303844,1269,8970.0,7.06855791962175,1.286764705882353,0.7328605200945626,5.857230018303844,568,2505.0,4.410211267605634,1.1982588049070044,0.7165492957746479,6.837606837606838,long_only_trend_efficiency_ge_0.5,signal_dir_trend_efficiency_15,0.5,long,-0.0175623472856008,-0.2726245532898881
2114,565,3150.0,2114,10965.0,5.186849574266793,1.206652845834904,0.7218543046357616,8.85432246485193,1514,8280.0,5.4689564068692205,1.209620253164557,0.7219286657859973,8.85432246485193,600,2685.0,4.475,1.198008849557522,0.7216666666666667,9.94044892349977,all_open_impulse_ge_12.5,signal_open_impulse,12.5,all,-0.017812302635083155,-0.20783582089552244
2398,281,2235.0,2398,11880.0,4.954128440366972,1.1985128247973933,0.719349457881568,9.077933200114188,1686,8805.0,5.222419928825623,1.2012571428571428,0.7200474495848161,9.077933200114188,712,3075.0,4.318820224719101,1.1910531220876048,0.7176966292134831,8.1374321880651,long_only_strength_score_ge_0.315639,strength_score,0.315639,long,-0.024768030105000394,-0.3640155961764213
2090,589,4200.0,2090,9915.0,4.744019138755981,1.1847056631892698,0.7205741626794259,9.949622166246852,1472,7175.0,4.874320652173913,1.1832694763729246,0.7207880434782609,9.949622166246852,618,2740.0,4.433656957928803,1.188575361321404,0.7200647249190939,8.1374321880651,all_cum_volume_rel_ge_0.827677,signal_cum_volume_rel,0.827677,all,-0.02724579087120116,-0.2491788629667191
