session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2023-09-01,2023-09-01 10:00:00,2023-09-01 11:00:00,2023-09-01 12:00:00,short,4931.0,4952.0,4952.0,4923.5,-21.0,-210.0,h1_proxy_limit,stop_loss
2023-09-04,2023-09-04 10:00:00,2023-09-04 11:00:00,2023-09-04 12:00:00,short,4941.5,4936.5,4956.0,4936.5,5.0,50.0,h1_proxy_limit,take_profit
2023-09-05,2023-09-05 10:00:00,2023-09-05 11:00:00,2023-09-05 13:00:00,long,4993.5,4980.5,4980.5,4998.0,-13.0,-130.0,h1_proxy_limit,stop_loss
2023-09-11,2023-09-11 11:00:00,2023-09-11 12:00:00,2023-09-11 13:00:00,short,4955.0,4950.0,4969.0,4950.0,5.0,50.0,h1_proxy_limit,take_profit
2023-09-12,2023-09-12 10:00:00,2023-09-12 11:00:00,2023-09-12 12:00:00,long,4973.5,4961.5,4961.5,4977.5,-12.0,-120.0,h1_proxy_limit,stop_loss
2023-09-14,2023-09-14 10:00:00,2023-09-14 11:00:00,2023-09-14 12:00:00,short,4896.0,4891.0,4909.5,4891.0,5.0,50.0,h1_proxy_limit,take_profit
2023-09-18,2023-09-18 10:00:00,2023-09-18 11:00:00,2023-09-18 12:00:00,short,4866.0,4862.0,4877.5,4862.0,4.0,40.0,h1_proxy_limit,take_profit
2023-09-22,2023-09-22 11:00:00,2023-09-22 12:00:00,2023-09-22 13:00:00,short,4915.5,4930.0,4930.0,4910.5,-14.5,-145.0,h1_proxy_limit,stop_loss
2023-09-25,2023-09-25 10:00:00,2023-09-25 11:00:00,2023-09-25 12:00:00,long,4965.0,4969.0,4953.5,4969.0,4.0,40.0,h1_proxy_limit,take_profit
2023-10-02,2023-10-02 11:00:00,2023-10-02 12:00:00,2023-10-02 13:00:00,long,5086.0,5092.0,5069.5,5092.0,6.0,60.0,h1_proxy_limit,take_profit
2023-10-03,2023-10-03 10:00:00,2023-10-03 11:00:00,2023-10-03 12:00:00,short,5097.0,5113.0,5113.0,5091.5,-16.0,-160.0,h1_proxy_limit,stop_loss
2023-10-05,2023-10-05 10:00:00,2023-10-05 11:00:00,2023-10-05 12:00:00,short,5175.5,5191.0,5191.0,5170.0,-15.5,-155.0,h1_proxy_limit,stop_loss
2023-10-13,2023-10-13 10:00:00,2023-10-13 11:00:00,2023-10-13 12:00:00,short,5066.0,5080.5,5080.5,5061.0,-14.5,-145.0,h1_proxy_limit,stop_loss
2023-10-16,2023-10-16 11:00:00,2023-10-16 12:00:00,2023-10-16 14:00:00,short,5066.5,5061.0,5081.5,5061.0,5.5,55.0,h1_proxy_limit,take_profit
2023-10-17,2023-10-17 10:00:00,2023-10-17 11:00:00,2023-10-17 12:00:00,long,5067.5,5054.0,5054.0,5072.5,-13.5,-135.0,h1_proxy_limit,stop_loss
2023-10-18,2023-10-18 11:00:00,2023-10-18 12:00:00,2023-10-18 13:00:00,long,5072.5,5078.5,5055.0,5078.5,6.0,60.0,h1_proxy_limit,take_profit
