number,value,datetime_start,datetime_complete,duration,params_ATR_Length,params_AllowFriday,params_AllowMonday,params_AllowThursday,params_AllowTuesday,params_AllowWednesday,params_EntryStart_TotalMinutes,params_FilterAsPercOfContractMARange,params_LastEntry_TotalMinutes,params_MinutesBeforeMarketCloseToClosePositions,params_NumDaysToConsiderPreviousContractMARange,params_RetracementLevel,params_SL_ATRMultiplier,params_TP_ATRMultiplier,user_attrs_train_metrics,state
38,12467.144828,2026-03-26 01:59:02.261248,2026-03-26 01:59:05.976994,0 days 00:00:03.715746,34,True,False,True,False,True,585,0.25,650,7,4,0.12000000000000001,1.2000000000000002,0.1,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1515, 'win_rate': 0.9743, 'net_profit_brl': 16990.0, 'avg_profit_brl': 11.21, 'avg_win_brl': 13.29, 'avg_loss_brl': -87.67, 'profit_factor': 7.4601, 'max_drawdown_pct': 1.36, 'expected_payoff': 11.21, 'on_tester_value': 12467.144828}",COMPLETE
39,11890.822917,2026-03-26 01:59:05.977051,2026-03-26 01:59:09.227218,0 days 00:00:03.250167,37,True,False,True,False,False,540,0.15,725,6,3,0.13,1.4,0.15000000000000002,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 3376, 'win_rate': 0.9251, 'net_profit_brl': 41865.0, 'avg_profit_brl': 12.4, 'avg_win_brl': 21.04, 'avg_loss_brl': -106.5, 'profit_factor': 2.755, 'max_drawdown_pct': 3.52, 'expected_payoff': 12.4, 'on_tester_value': 11890.822917}",COMPLETE
40,8997.760638,2026-03-26 01:59:09.227293,2026-03-26 01:59:12.516681,0 days 00:00:03.289388,39,True,False,True,False,False,560,0.15,695,4,5,0.11,1.4,0.25,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 2420, 'win_rate': 0.8921, 'net_profit_brl': 35095.0, 'avg_profit_brl': 14.5, 'avg_win_brl': 31.7, 'avg_loss_brl': -138.92, 'profit_factor': 2.0526, 'max_drawdown_pct': 3.9, 'expected_payoff': 14.5, 'on_tester_value': 8997.760638}",COMPLETE
41,11917.176923,2026-03-26 01:59:12.516730,2026-03-26 01:59:15.708953,0 days 00:00:03.192223,35,True,False,True,False,False,580,0.15,710,6,3,0.11,1.5,0.1,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1747, 'win_rate': 0.9731, 'net_profit_brl': 19845.0, 'avg_profit_brl': 11.36, 'avg_win_brl': 14.24, 'avg_loss_brl': -109.0, 'profit_factor': 5.5516, 'max_drawdown_pct': 1.67, 'expected_payoff': 11.36, 'on_tester_value': 11917.176923}",COMPLETE
42,302.727885,2026-03-26 01:59:15.709013,2026-03-26 01:59:18.601185,0 days 00:00:02.892172,32,True,False,True,False,True,540,0.30000000000000004,550,7,3,0.18,1.25,0.1,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 152, 'win_rate': 0.875, 'net_profit_brl': 745.0, 'avg_profit_brl': 4.9, 'avg_win_brl': 14.51, 'avg_loss_brl': -74.06, 'profit_factor': 1.6287, 'max_drawdown_pct': 2.46, 'expected_payoff': 4.9, 'on_tester_value': 302.727885}",COMPLETE
43,25539.910714,2026-03-26 01:59:18.601303,2026-03-26 01:59:22.134864,0 days 00:00:03.533561,34,True,True,True,True,True,545,0.15,690,8,4,0.16,1.4,0.1,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 6014, 'win_rate': 0.9604, 'net_profit_brl': 55500.0, 'avg_profit_brl': 9.23, 'avg_win_brl': 13.32, 'avg_loss_brl': -101.49, 'profit_factor': 3.5916, 'max_drawdown_pct': 2.17, 'expected_payoff': 9.23, 'on_tester_value': 25539.910714}",COMPLETE
44,10598.78673,2026-03-26 01:59:22.134956,2026-03-26 01:59:25.740096,0 days 00:00:03.605140,38,True,True,True,True,True,620,0.25,705,4,4,0.1,1.5,0.2,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 2371, 'win_rate': 0.9481, 'net_profit_brl': 37840.0, 'avg_profit_brl': 15.96, 'avg_win_brl': 24.46, 'avg_loss_brl': -151.73, 'profit_factor': 3.2071, 'max_drawdown_pct': 3.57, 'expected_payoff': 15.96, 'on_tester_value': 10598.78673}",COMPLETE
45,26174.538462,2026-03-26 01:59:25.740164,2026-03-26 01:59:28.775409,0 days 00:00:03.035245,33,True,False,False,True,True,570,0.45000000000000007,870,2,4,0.25,0.5,0.15000000000000002,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1181, 'win_rate': 0.945, 'net_profit_brl': 16845.0, 'avg_profit_brl': 14.26, 'avg_win_brl': 17.25, 'avg_loss_brl': -51.28, 'profit_factor': 7.9896, 'max_drawdown_pct': 0.64, 'expected_payoff': 14.26, 'on_tester_value': 26174.538462}",COMPLETE
46,30473.608065,2026-03-26 01:59:28.775488,2026-03-26 01:59:31.666285,0 days 00:00:02.890797,33,True,False,False,True,True,555,0.4,860,6,4,0.30000000000000004,0.65,0.2,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1181, 'win_rate': 0.9407, 'net_profit_brl': 21035.0, 'avg_profit_brl': 17.81, 'avg_win_brl': 22.54, 'avg_loss_brl': -72.82, 'profit_factor': 6.2522, 'max_drawdown_pct': 0.69, 'expected_payoff': 17.81, 'on_tester_value': 30473.608065}",COMPLETE
47,5601.432857,2026-03-26 01:59:31.666365,2026-03-26 01:59:34.527524,0 days 00:00:02.861159,29,True,False,False,True,True,620,0.5,840,3,3,0.26,0.75,0.30000000000000004,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 642, 'win_rate': 0.8645, 'net_profit_brl': 12035.0, 'avg_profit_brl': 18.75, 'avg_win_brl': 34.73, 'avg_loss_brl': -88.29, 'profit_factor': 2.6623, 'max_drawdown_pct': 2.15, 'expected_payoff': 18.75, 'on_tester_value': 5601.432857}",COMPLETE
48,13908.38,2026-03-26 01:59:34.527580,2026-03-26 01:59:37.776537,0 days 00:00:03.248957,36,True,False,False,True,True,620,0.45000000000000007,825,1,6,0.18,0.6,0.1,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1037, 'win_rate': 0.9749, 'net_profit_brl': 10765.0, 'avg_profit_brl': 10.38, 'avg_win_brl': 11.63, 'avg_loss_brl': -58.24, 'profit_factor': 11.8737, 'max_drawdown_pct': 0.77, 'expected_payoff': 10.38, 'on_tester_value': 13908.38}",COMPLETE
49,16854.288889,2026-03-26 01:59:37.776591,2026-03-26 01:59:41.968602,0 days 00:00:04.192011,29,True,True,True,True,True,595,0.15,720,12,5,0.19,1.35,0.1,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 2075, 'win_rate': 0.9894, 'net_profit_brl': 22340.0, 'avg_profit_brl': 10.77, 'avg_win_brl': 11.57, 'avg_loss_brl': -101.43, 'profit_factor': 16.7324, 'max_drawdown_pct': 1.33, 'expected_payoff': 10.77, 'on_tester_value': 16854.288889}",COMPLETE
50,-967.0,2026-03-26 01:59:41.968691,2026-03-26 01:59:45.317537,0 days 00:00:03.348846,34,True,True,True,True,True,620,0.15,625,12,5,0.26,1.25,0.1,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 33, 'win_rate': 1.0, 'net_profit_brl': 400.0, 'avg_profit_brl': 12.12, 'avg_win_brl': 12.12, 'avg_loss_brl': 0.0, 'profit_factor': inf, 'max_drawdown_pct': 0.0, 'expected_payoff': 12.12, 'on_tester_value': 0.0}",COMPLETE
51,23602.425,2026-03-26 01:59:45.317633,2026-03-26 01:59:49.423534,0 days 00:00:04.105901,30,True,True,False,True,True,585,0.30000000000000004,850,8,4,0.35,0.75,0.15000000000000002,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 1130, 'win_rate': 0.9761, 'net_profit_brl': 17080.0, 'avg_profit_brl': 15.12, 'avg_win_brl': 17.03, 'avg_loss_brl': -77.27, 'profit_factor': 11.0471, 'max_drawdown_pct': 0.72, 'expected_payoff': 15.12, 'on_tester_value': 23602.425}",COMPLETE
52,3994.671329,2026-03-26 01:59:49.423622,2026-03-26 01:59:52.577899,0 days 00:00:03.154277,23,True,True,False,True,True,545,0.2,840,6,4,0.31,0.6,0.55,"{'start_date': '2021-03-23', 'end_date': '2024-09-16', 'trading_days': 872, 'total_trades': 2687, 'win_rate': 0.604, 'net_profit_brl': 27730.0, 'avg_profit_brl': 10.32, 'avg_win_brl': 59.39, 'avg_loss_brl': -66.27, 'profit_factor': 1.4039, 'max_drawdown_pct': 6.94, 'expected_payoff': 10.32, 'on_tester_value': 3994.671329}",COMPLETE
