session_date,entry_time,exit_time,direction,entry_price,exit_price,pnl_points,pnl_brl,exit_reason
2024-09-06,2024-09-06 15:15:00-03:00,2024-09-09 06:00:00-03:00,short,5613.0,5616.5,-3.5,-39.0,stop_loss
2024-10-01,2024-10-02 06:00:00-03:00,2024-10-02 06:05:00-03:00,long,5435.0,5428.0,-7.0,-74.0,stop_gap_open
2024-10-02,2024-10-02 15:05:00-03:00,2024-10-03 06:00:00-03:00,short,5461.0,5472.5,-11.5,-119.0,stop_gap_open
2024-10-17,2024-10-17 15:05:00-03:00,2024-10-17 15:20:00-03:00,long,5664.5,5661.5,-3.0,-34.0,stop_loss
2024-10-21,2024-10-21 15:05:00-03:00,2024-10-21 15:15:00-03:00,long,5702.0,5699.0,-3.0,-34.0,stop_loss
2024-10-21,2024-10-21 15:20:00-03:00,2024-10-22 06:00:00-03:00,long,5695.5,5691.5,-4.0,-44.0,stop_gap_open
2024-10-22,2024-10-22 15:05:00-03:00,2024-10-23 06:00:00-03:00,long,5697.0,5722.0,25.0,246.0,target_gap_open
2024-10-28,2024-10-28 15:05:00-03:00,2024-10-28 15:15:00-03:00,short,5712.0,5715.0,-3.0,-34.0,stop_loss
2025-01-08,2025-01-08 15:05:00-03:00,2025-01-08 15:20:00-03:00,long,6133.5,6129.5,-4.0,-44.0,stop_loss
2025-01-08,2025-01-08 15:25:00-03:00,2025-01-09 06:10:00-03:00,long,6130.5,6126.5,-4.0,-44.0,stop_loss
2025-01-13,2025-01-13 15:05:00-03:00,2025-01-13 15:10:00-03:00,long,6119.5,6116.0,-3.5,-39.0,stop_loss
2025-01-13,2025-01-13 15:15:00-03:00,2025-01-14 06:00:00-03:00,long,6116.0,6112.5,-3.5,-39.0,stop_loss
2025-01-24,2025-01-24 15:05:00-03:00,2025-01-27 06:00:00-03:00,short,5925.0,5950.5,-25.5,-259.0,stop_gap_open
2025-01-29,2025-01-29 15:05:00-03:00,2025-01-29 15:20:00-03:00,long,5865.0,5859.5,-5.5,-59.0,stop_loss
2025-02-05,2025-02-05 15:15:00-03:00,2025-02-06 06:00:00-03:00,short,5824.0,5830.5,-6.5,-69.0,stop_gap_open
2025-02-13,2025-02-13 15:05:00-03:00,2025-02-14 06:05:00-03:00,long,5779.0,5775.0,-4.0,-44.0,stop_loss
2025-02-25,2025-02-25 15:05:00-03:00,2025-02-25 15:20:00-03:00,long,5750.5,5747.0,-3.5,-39.0,stop_loss
2025-02-25,2025-02-25 15:25:00-03:00,2025-02-26 06:00:00-03:00,long,5746.5,5742.5,-4.0,-44.0,stop_gap_open
2025-03-28,2025-03-28 15:20:00-03:00,2025-03-31 06:00:00-03:00,long,5761.5,5797.0,35.5,351.0,target_gap_open
2025-05-02,2025-05-02 15:05:00-03:00,2025-05-05 06:00:00-03:00,short,5696.0,5684.5,11.5,111.0,vwap_revert
2025-05-16,2025-05-16 15:05:00-03:00,2025-05-19 06:00:00-03:00,long,5683.5,5676.5,-7.0,-74.0,stop_gap_open
2025-06-10,2025-06-10 15:05:00-03:00,2025-06-11 06:10:00-03:00,short,5598.0,5601.0,-3.0,-34.0,stop_loss
2025-06-12,2025-06-12 15:05:00-03:00,2025-06-12 15:15:00-03:00,long,5557.5,5555.0,-2.5,-29.0,stop_loss
2025-06-13,2025-06-13 15:20:00-03:00,2025-06-16 06:00:00-03:00,long,5563.5,5543.0,-20.5,-209.0,stop_gap_open
2025-06-17,2025-06-17 15:05:00-03:00,2025-06-18 06:00:00-03:00,short,5514.5,5501.0,13.5,131.0,vwap_revert
2025-06-18,2025-06-18 15:20:00-03:00,2025-06-18 15:25:00-03:00,long,5500.0,5496.5,-3.5,-39.0,stop_loss
2025-06-18,2025-06-20 06:00:00-03:00,2025-06-20 06:40:00-03:00,long,5483.0,5505.5,22.5,221.0,vwap_revert
2025-07-04,2025-07-04 15:05:00-03:00,2025-07-04 15:15:00-03:00,short,5455.0,5457.0,-2.0,-24.0,stop_loss
2025-07-04,2025-07-04 15:20:00-03:00,2025-07-07 06:00:00-03:00,short,5456.0,5474.0,-18.0,-184.0,stop_gap_open
2025-07-30,2025-07-30 15:05:00-03:00,2025-07-31 06:00:00-03:00,long,5573.0,5610.0,37.0,366.0,target_gap_open
2025-08-11,2025-08-11 15:05:00-03:00,2025-08-11 15:10:00-03:00,long,5471.5,5469.0,-2.5,-29.0,stop_loss
2025-08-11,2025-08-11 15:15:00-03:00,2025-08-11 15:25:00-03:00,long,5470.0,5467.5,-2.5,-29.0,stop_loss
2025-08-11,2025-08-12 06:00:00-03:00,2025-08-12 06:05:00-03:00,long,5468.5,5461.0,-7.5,-79.0,stop_gap_open
2025-08-13,2025-08-13 15:05:00-03:00,2025-08-13 15:15:00-03:00,short,5422.0,5419.5,2.5,21.0,vwap_revert
2025-08-20,2025-08-20 15:05:00-03:00,2025-08-20 15:25:00-03:00,short,5496.5,5491.5,5.0,46.0,vwap_revert
2025-08-21,2025-08-21 15:05:00-03:00,2025-08-21 15:10:00-03:00,long,5489.0,5486.5,-2.5,-29.0,stop_loss
2025-08-21,2025-08-21 15:15:00-03:00,2025-08-21 15:25:00-03:00,long,5487.5,5485.0,-2.5,-29.0,stop_loss
2025-08-21,2025-08-22 06:00:00-03:00,2025-08-22 06:05:00-03:00,long,5486.5,5480.0,-6.5,-69.0,stop_gap_open
2025-09-08,2025-09-08 15:05:00-03:00,2025-09-09 06:00:00-03:00,long,5449.5,5447.5,-2.0,-24.0,stop_loss
2025-09-17,2025-09-17 15:10:00-03:00,2025-09-17 15:15:00-03:00,short,5322.0,5326.0,-4.0,-44.0,stop_loss
2025-09-17,2025-09-17 15:20:00-03:00,2025-09-18 06:00:00-03:00,short,5325.5,5309.5,16.0,156.0,target_gap_open
2025-09-22,2025-09-22 15:20:00-03:00,2025-09-23 06:10:00-03:00,long,5344.5,5354.0,9.5,91.0,vwap_revert
2025-10-24,2025-10-24 15:20:00-03:00,2025-10-27 06:00:00-03:00,short,5397.5,5372.5,25.0,246.0,target_gap_open
2025-10-29,2025-10-29 15:05:00-03:00,2025-10-30 06:00:00-03:00,short,5363.5,5366.5,-3.0,-34.0,stop_loss
2025-11-14,2025-11-14 15:05:00-03:00,2025-11-14 15:15:00-03:00,short,5315.0,5317.0,-2.0,-24.0,stop_loss
2025-11-14,2025-11-14 15:20:00-03:00,2025-11-17 06:00:00-03:00,short,5317.5,5319.5,-2.0,-24.0,ambiguous_stop_first
2025-11-18,2025-11-18 15:05:00-03:00,2025-11-19 06:00:00-03:00,long,5335.0,5332.5,-2.5,-29.0,stop_loss
2025-11-19,2025-11-19 15:20:00-03:00,2025-11-19 15:25:00-03:00,long,5343.0,5340.0,-3.0,-34.0,stop_gap_open
2025-12-04,2025-12-04 15:05:00-03:00,2025-12-05 06:00:00-03:00,short,5343.5,5327.5,16.0,156.0,target_gap_open
2026-01-12,2026-01-12 15:05:00-03:00,2026-01-12 15:20:00-03:00,short,5402.0,5403.5,-1.5,-19.0,stop_loss
2026-01-12,2026-01-12 15:25:00-03:00,2026-01-13 06:00:00-03:00,short,5402.0,5396.5,5.5,51.0,vwap_revert
2026-01-13,2026-01-13 15:05:00-03:00,2026-01-14 06:00:00-03:00,long,5396.0,5393.5,-2.5,-29.0,stop_gap_open
2026-01-19,2026-01-19 15:20:00-03:00,2026-01-19 15:25:00-03:00,short,5386.0,5388.0,-2.0,-24.0,stop_loss
2026-01-19,2026-01-20 06:00:00-03:00,2026-01-20 06:15:00-03:00,short,5394.0,5396.5,-2.5,-29.0,stop_loss
2026-01-20,2026-01-20 15:05:00-03:00,2026-01-21 06:00:00-03:00,long,5388.5,5383.5,-5.0,-54.0,stop_gap_open
2026-02-19,2026-02-19 15:05:00-03:00,2026-02-19 15:15:00-03:00,long,5226.0,5222.5,-3.5,-39.0,stop_loss
2026-02-26,2026-02-26 15:05:00-03:00,2026-02-26 15:15:00-03:00,long,5140.5,5138.0,-2.5,-29.0,stop_loss
2026-02-26,2026-02-26 15:20:00-03:00,2026-02-26 15:25:00-03:00,long,5141.0,5138.5,-2.5,-29.0,stop_loss
