session_date,signal_time,entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_brl,fill_reason,exit_reason
2021-07-20,2021-07-20 12:48:00,2021-07-20 12:51:00,2021-07-20 13:31:00,short,5218.5,5240.0,5240.0,5208.5,-21.5,-215.0,limit_touch,stop_loss
2021-07-27,2021-07-27 12:07:00,2021-07-27 12:07:00,2021-07-27 12:15:00,short,5161.5,5153.5,5178.5,5153.5,8.0,80.0,limit_touch,take_profit
2021-07-27,2021-07-27 12:16:00,2021-07-27 12:20:00,2021-07-27 13:54:00,short,5158.0,5175.0,5175.0,5150.0,-17.0,-170.0,limit_touch,stop_loss
2021-08-02,2021-08-02 12:30:00,2021-08-02 12:36:00,2021-08-02 13:42:00,short,5144.5,5135.0,5164.5,5135.0,9.5,95.0,limit_touch,take_profit
2021-08-09,2021-08-09 11:58:00,2021-08-09 12:03:00,2021-08-09 13:59:00,long,5307.0,5282.5,5282.5,5318.5,-24.5,-245.0,limit_touch,stop_loss
2021-08-10,2021-08-10 11:50:00,2021-08-10 11:50:00,2021-08-10 12:18:00,short,5236.5,5225.5,5260.5,5225.5,11.0,110.0,limit_touch,take_profit
2021-08-10,2021-08-10 12:19:00,2021-08-10 12:19:00,2021-08-10 12:46:00,short,5227.5,5216.5,5251.5,5216.5,11.0,110.0,limit_touch,take_profit_gap_open
2021-08-10,2021-08-10 12:58:00,2021-08-10 13:04:00,2021-08-10 14:08:00,short,5214.0,5203.0,5238.0,5203.0,11.0,110.0,limit_touch,take_profit
2021-08-16,2021-08-16 11:41:00,2021-08-16 11:46:00,2021-08-16 12:30:00,short,5248.5,5267.0,5267.0,5240.0,-18.5,-185.0,limit_touch,stop_loss
2021-08-17,2021-08-17 12:27:00,2021-08-17 12:28:00,2021-08-17 13:18:00,short,5253.0,5272.0,5272.0,5244.0,-19.0,-190.0,limit_touch,stop_loss
2021-08-23,2021-08-23 12:12:00,2021-08-23 12:13:00,2021-08-23 13:35:00,long,5399.0,5376.0,5376.0,5409.5,-23.0,-230.0,limit_touch,stop_loss
2021-08-24,2021-08-24 12:13:00,2021-08-24 12:25:00,2021-08-24 13:35:00,short,5277.5,5268.0,5298.5,5268.0,9.5,95.0,limit_touch,take_profit
2021-08-30,2021-08-30 11:53:00,2021-08-30 11:54:00,2021-08-30 11:58:00,short,5194.0,5187.0,5209.5,5187.0,7.0,70.0,limit_touch,take_profit
2021-08-30,2021-08-30 12:00:00,2021-08-30 12:08:00,2021-08-30 14:27:00,short,5188.5,5181.5,5203.5,5181.5,7.0,70.0,limit_touch,take_profit
2021-08-31,2021-08-31 11:48:00,2021-08-31 11:49:00,2021-08-31 11:51:00,short,5151.5,5144.0,5167.5,5144.0,7.5,75.0,limit_touch,take_profit
2021-08-31,2021-08-31 12:00:00,2021-08-31 12:04:00,2021-08-31 12:54:00,short,5147.0,5163.0,5163.0,5139.5,-16.0,-160.0,limit_touch,stop_loss
2021-09-06,2021-09-06 12:17:00,2021-09-06 12:19:00,2021-09-06 12:33:00,short,5181.0,5173.5,5196.5,5173.5,7.5,75.0,limit_touch,take_profit
2021-09-06,2021-09-06 12:34:00,2021-09-06 12:39:00,2021-09-06 16:22:00,short,5179.5,5195.0,5195.0,5172.5,-15.5,-155.0,limit_touch,stop_loss
2021-09-13,2021-09-13 12:37:00,2021-09-13 12:37:00,2021-09-13 14:29:00,short,5220.5,5243.0,5243.0,5210.0,-22.5,-225.0,limit_touch,stop_loss
