entry_time,exit_time,direction,entry_price,exit_price,pnl_brl
2024.04.15 09:25:00,2024.04.15 09:45:00,long,5145.000,5147.000,9.00
2024.04.23 10:55:00,2024.04.23 11:50:00,short,5158.500,5159.500,-21.00
2024.04.24 14:05:00,2024.04.24 15:20:00,short,5153.500,5155.000,-26.00
2024.04.25 09:45:00,2024.04.25 10:40:00,long,5165.000,5175.500,94.00
2024.05.07 09:50:00,2024.05.07 11:00:00,short,5077.500,5079.000,-26.00
2024.05.10 11:25:00,2024.05.10 15:00:00,long,5154.000,5162.500,74.00
2024.05.13 11:40:00,2024.05.13 14:55:00,long,5152.500,5164.000,104.00
2024.05.20 11:10:00,2024.05.20 12:15:00,short,5114.500,5104.500,89.00
2024.05.24 10:25:00,2024.05.24 11:10:00,long,5150.000,5143.000,-81.00
2024.05.24 11:20:00,2024.05.24 11:40:00,short,5143.000,5153.000,-111.00
2024.05.27 11:10:00,2024.05.27 12:15:00,long,5172.000,5175.500,24.00
2024.05.27 14:40:00,2024.05.27 15:55:00,long,5175.500,5173.000,-36.00
2024.06.05 11:05:00,2024.06.05 11:25:00,long,5298.000,5298.000,-11.00
2024.06.07 09:15:00,2024.06.07 09:35:00,short,5257.000,5289.000,-331.00
2024.06.12 10:40:00,2024.06.12 12:50:00,long,5418.000,5410.000,-91.00
2024.06.17 14:50:00,2024.06.17 17:30:00,long,5419.000,5426.500,64.00
2024.06.27 10:20:00,2024.06.27 14:05:00,long,5518.000,5528.000,89.00
2024.06.28 09:10:00,2024.06.28 11:45:00,long,5522.500,5584.000,604.00
2024.07.01 10:05:00,2024.07.01 10:20:00,long,5612.500,5595.000,-186.00
2024.07.12 10:20:00,2024.07.12 11:35:00,long,5463.500,5459.000,-56.00
2024.07.30 11:45:00,2024.07.30 12:35:00,short,5634.500,5649.500,-161.00
2024.08.01 11:50:00,2024.08.01 14:55:00,long,5683.500,5734.500,499.00
2024.08.16 11:20:00,2024.08.16 13:15:00,long,5484.000,5480.000,-51.00
2024.08.30 09:55:00,2024.08.30 10:55:00,long,5648.500,5671.000,214.00
2024.09.10 09:40:00,2024.09.10 15:45:00,long,5610.500,5663.000,514.00
2024.09.16 10:05:00,2024.09.16 13:25:00,short,5563.500,5525.500,369.00
2024.09.27 10:30:00,2024.09.27 13:35:00,short,5440.500,5444.000,-46.00
2024.10.14 09:15:00,2024.10.14 09:45:00,long,5648.500,5649.500,-1.00
2024.10.16 09:45:00,2024.10.16 11:10:00,long,5685.500,5682.000,-46.00
2024.10.22 09:30:00,2024.10.22 10:20:00,long,5713.000,5699.500,-146.00
2024.10.24 09:20:00,2024.10.24 10:00:00,long,5708.500,5708.000,-16.00
2024.10.25 11:25:00,2024.10.25 12:20:00,short,5686.500,5699.500,-141.00
2024.11.01 10:25:00,2024.11.01 17:30:00,long,5821.500,5886.500,639.00
2024.11.05 10:30:00,2024.11.05 11:25:00,short,5793.500,5814.500,-221.00
2024.11.06 10:55:00,2024.11.06 11:40:00,short,5794.500,5805.000,-116.00
2024.11.07 10:10:00,2024.11.07 11:20:00,short,5666.000,5671.000,-61.00
2024.11.13 11:15:00,2024.11.13 16:15:00,long,5778.500,5812.500,329.00
2024.11.18 09:10:00,2024.11.18 09:40:00,short,5780.500,5797.000,-176.00
2024.11.19 11:15:00,2024.11.19 11:25:00,short,5761.500,5781.000,-206.00
2024.12.04 09:25:00,2024.12.04 10:10:00,long,6081.500,6066.000,-166.00
2024.12.06 11:15:00,2024.12.06 16:55:00,long,6030.000,6093.500,624.00
2024.12.11 10:10:00,2024.12.11 12:10:00,short,6046.000,6052.000,-71.00
2024.12.13 09:45:00,2024.12.13 10:40:00,long,6034.500,6020.500,-151.00
2024.12.13 14:50:00,2024.12.13 15:45:00,short,6025.000,6052.500,-286.00
2025.01.03 09:20:00,2025.01.03 10:05:00,long,6215.500,6205.500,-111.00
2025.01.03 10:20:00,2025.01.03 10:40:00,short,6186.500,6187.500,-21.00
2025.01.15 09:10:00,2025.01.15 09:45:00,short,6057.000,6071.000,-151.00
2025.01.16 12:00:00,2025.01.16 12:40:00,short,6037.000,6040.000,-41.00
2025.01.17 11:50:00,2025.01.17 14:35:00,short,6064.500,6064.500,-11.00
2025.01.21 09:10:00,2025.01.21 10:00:00,long,6071.500,6056.000,-166.00
2025.01.23 10:50:00,2025.01.23 15:30:00,short,5953.500,5899.500,529.00
2025.01.27 10:30:00,2025.01.27 11:35:00,short,5925.500,5939.000,-146.00
2025.01.29 11:55:00,2025.01.29 12:50:00,short,5860.500,5863.500,-41.00
2025.02.04 11:00:00,2025.02.04 14:25:00,short,5838.500,5798.500,389.00
2025.02.06 10:50:00,2025.02.06 12:15:00,short,5818.500,5809.500,79.00
2025.02.10 11:40:00,2025.02.10 12:05:00,long,5817.500,5808.500,-101.00
2025.02.19 11:30:00,2025.02.19 13:05:00,short,5711.500,5709.500,9.00
2025.02.24 10:35:00,2025.02.24 13:45:00,long,5733.000,5735.000,9.00
2025.03.12 10:55:00,2025.03.12 11:15:00,short,5834.000,5850.500,-176.00
2025.03.13 11:25:00,2025.03.13 14:20:00,short,5832.000,5831.000,-1.00
2025.03.17 09:10:00,2025.03.17 10:15:00,short,5744.000,5735.500,74.00
2025.03.18 10:20:00,2025.03.18 15:05:00,short,5704.000,5685.000,179.00
2025.03.24 09:35:00,2025.03.24 10:05:00,long,5743.000,5761.500,174.00
2025.03.27 11:30:00,2025.03.27 12:10:00,short,5735.500,5745.000,-106.00
2025.04.16 09:50:00,2025.04.16 10:25:00,long,5917.000,5911.000,-71.00
2025.04.28 09:30:00,2025.04.28 11:55:00,short,5686.000,5673.500,114.00
2025.05.07 09:40:00,2025.05.07 13:55:00,long,5755.000,5772.000,159.00
2025.05.12 10:45:00,2025.05.12 10:55:00,short,5691.500,5706.000,-156.00
2025.05.19 10:40:00,2025.05.19 13:55:00,short,5686.000,5662.500,224.00
2025.05.22 10:15:00,2025.05.22 13:45:00,short,5659.000,5637.500,204.00
2025.06.03 09:40:00,2025.06.03 10:10:00,long,5727.500,5729.500,9.00
2025.06.20 11:40:00,2025.06.20 13:15:00,long,5509.500,5511.000,4.00
2025.07.03 10:30:00,2025.07.03 12:10:00,short,5456.000,5454.500,4.00
2025.07.04 10:25:00,2025.07.04 11:40:00,short,5445.000,5448.000,-41.00
